Millar (Hull City, MID)
Crooks (Hull City, MID)
Slater (Hull City, MID)
Matazo (Hull City, MID)
Kamara (Hull City, MID)
McBurnie (Hull City, FWD)
Gyabi (Hull City, MID)
Destan (Hull City, FWD)
Burstow (Hull City, FWD)
Targett (Hull City, DEF)
Morita (Hull City, MID)
Tzolakis (Hull City, GKP)
Hjertø-Dahl (Hull City, MID)
Stroud (Hull City, MID)
Herrington (Hull City, DEF)
Mendy (Hull City, DEF)
Gourna-Douath (Hull City, MID)
Cho (Hull City, MID)
Ansah (Hull City, FWD)
Norton-Cuffy (Hull City, DEF)
Thomas (Hull City, MID)
Diop (Ipswich Town, DEF)
Lukić (Ipswich Town, MID)
Palmer (Ipswich Town, GKP)
O'Shea (Ipswich Town, DEF)
Davis (Ipswich Town, DEF)
Greaves (Ipswich Town, DEF)
Johnson (Ipswich Town, DEF)
Furlong (Ipswich Town, DEF)
Núñez (Ipswich Town, MID)
Matusiwa (Ipswich Town, MID)
Burns (Ipswich Town, MID)
Taylor (Ipswich Town, MID)
Clarke (Ipswich Town, MID)
Ogbene (Ipswich Town, MID)
Fatawu (Ipswich Town, MID)
Emersonn (Ipswich Town, FWD)
Hirst (Ipswich Town, FWD)
Philogene (Ipswich Town, MID)
Szmodics (Ipswich Town, MID)
Akpom (Ipswich Town, FWD)
Walle Egeli (Ipswich Town, FWD)
Al-Hamadi (Ipswich Town, FWD)
McAteer (Ipswich Town, MID)
Van Oevelen (Ipswich Town, GKP)
Maeda (Ipswich Town, MID)
Scherpen (Ipswich Town, GKP)
Enciso (Ipswich Town, MID)
Ouattara (Ipswich Town, DEF)
Humphreys (Ipswich Town, MID)
Palacios (Ipswich Town, MID)
Flemming (Ipswich Town, FWD)
Wilson (Leeds, MID)
Perri (Leeds, GKP)
Bijol (Leeds, DEF)
Rodon (Leeds, DEF)
Bogle (Leeds, DEF)
Gudmundsson (Leeds, DEF)
Justin (Leeds, DEF)
Bornauw (Leeds, DEF)
Muharemović (Leeds, DEF)
Stach (Leeds, MID)
Okafor (Leeds, MID)
Aaronson (Leeds, MID)
Ampadu (Leeds, MID)
Longstaff (Leeds, MID)
Gnonto (Leeds, MID)
Harrison (Leeds, MID)
James (Leeds, MID)
Gruev (Leeds, MID)
Tanaka (Leeds, MID)
Calvert-Lewin (Leeds, FWD)
Nmecha (Leeds, FWD)
Piroe (Leeds, FWD)
Mateo Joseph (Leeds, FWD)
Trafford (Leeds, GKP)
Elvedi (Leeds, DEF)
A.Becker (Liverpool, GKP)
Woodman (Liverpool, GKP)
Pecsi (Liverpool, GKP)
Jaros (Liverpool, GKP)
Davies (Liverpool, GKP)
Virgil (Liverpool, DEF)
Frimpong (Liverpool, DEF)
Kerkez (Liverpool, DEF)
Gomez (Liverpool, DEF)
Bradley (Liverpool, DEF)
Jacquet (Liverpool, DEF)
Leoni (Liverpool, DEF)
Tsimikas (Liverpool, DEF)
Ramsay (Liverpool, DEF)
Wirtz (Liverpool, MID)
Gakpo (Liverpool, MID)
Szoboszlai (Liverpool, MID)
Ngumoha (Liverpool, MID)
Chiesa (Liverpool, MID)
Gravenberch (Liverpool, MID)
Mac Allister (Liverpool, MID)
C.Jones (Liverpool, MID)
Nyoni (Liverpool, MID)
Bajcetic (Liverpool, MID)
Munoz (Liverpool, MID)
Isak (Liverpool, FWD)
Ekitiké (Liverpool, FWD)
Koumas (Liverpool, MID)
Elliott (Liverpool, MID)
Araujo (Liverpool, DEF)
Barcola (Liverpool, MID)
Enzo (Man City, MID)
Ndiaye (Man City, MID)
Donnarumma (Man City, GKP)
O'Reilly (Man City, DEF)
Guéhi (Man City, DEF)
Matheus N. (Man City, DEF)
Rúben (Man City, DEF)
Gvardiol (Man City, DEF)
Khusanov (Man City, DEF)
Alleyne (Man City, DEF)
Lewis (Man City, DEF)
Vitor Reis (Man City, DEF)
Semenyo (Man City, MID)
Foden (Man City, MID)
Cherki (Man City, MID)
Doku (Man City, MID)
Rodrigo (Man City, MID)
Reijnders (Man City, MID)
Kovačić (Man City, MID)
Echeverri (Man City, MID)
Phillips (Man City, MID)
Mukasa (Man City, MID)
Monga (Man City, MID)
Haaland (Man City, FWD)
Anderson (Man City, MID)
Bouaddi (Man City, MID)
McAidoo (Man City, MID)
Braithwaite (Man City, DEF)
Tielemans (Man Utd, MID)
Baleba (Man Utd, MID)
Andrey Santos (Man Utd, MID)
Lammens (Man Utd, GKP)
Bayindir (Man Utd, GKP)
Heaton (Man Utd, GKP)
Dorgu (Man Utd, MID)
De Ligt (Man Utd, DEF)
Dalot (Man Utd, DEF)
Maguire (Man Utd, DEF)
Martinez (Man Utd, DEF)
Yoro (Man Utd, DEF)
Heaven (Man Utd, DEF)
Mazraoui (Man Utd, DEF)
Shaw (Man Utd, DEF)
Fredricson (Man Utd, DEF)
B.Fernandes (Man Utd, MID)
Mbeumo (Man Utd, MID)
Cunha (Man Utd, MID)
Rashford (Man Utd, MID)
Amad (Man Utd, MID)
Mainoo (Man Utd, MID)
Ugarte (Man Utd, MID)
Lacey (Man Utd, MID)
Collyer (Man Utd, MID)
Šeško (Man Utd, FWD)
Obi (Man Utd, FWD)
N.Gonzalez (Newcastle, MID)
Pope (Newcastle, GKP)
Thiaw (Newcastle, DEF)
